tick,time_s,status,required,drawn,deficit,low_flag,charge
0,0,1,0,0,0,0,500
1,60,1,5,5,0,0,505
2,120,1,5,5,0,0,510
3,180,1,5,5,0,0,515
4,240,1,5,5,0,0,520
5,300,1,5,5,0,0,525
6,360,1,5,5,0,0,530
7,420,1,5,5,0,0,535
8,480,1,5,5,0,0,540
9,540,1,5,5,0,0,545
10,600,1,5,5,0,0,550
11,660,1,5,5,0,0,555
12,720,1,5,5,0,0,560
13,780,1,5,5,0,0,565
14,840,1,5,5,0,0,570
15,900,1,5,5,0,0,575
16,960,1,5,5,0,0,580
17,1020,1,5,5,0,0,585
18,1080,1,5,5,0,0,590
19,1140,1,5,5,0,0,595
20,1200,1,5,5,0,0,600
21,1260,1,5,5,0,0,605
22,1320,1,5,5,0,0,610
23,1380,1,5,5,0,0,615
24,1440,1,5,5,0,0,620
25,1500,1,5,5,0,0,625
26,1560,1,5,5,0,0,630
27,1620,1,5,5,0,0,635
28,1680,1,5,5,0,0,640
