tick,time_s,status,ran_steps,cum_steps,reload,mark_reload,temp_K,density_m3,n_ratio,pressure_Pa,shield_hits,shield_reemit
1,60,1,0,0,0,0,0,0,0,0,0,0
2,120,1,2500,2500,0,0,0,0,0,0,0,0
3,180,1,2500,5000,0,0,0,0,0,0,0,0
4,240,1,2500,7500,0,0,0,0,0,0,0,0
5,300,1,2500,10000,0,0,0,0,0,0,0,0
6,360,1,2500,12500,0,0,0,0,0,0,0,0
7,420,1,2500,15000,0,0,0,0,0,0,0,0
8,480,1,2500,17500,0,0,0,0,0,0,0,0
9,540,1,2500,20000,0,0,0,0,0,0,0,0
10,600,1,2500,22500,0,0,0,0,0,0,0,0
11,660,1,2500,25000,0,0,0,0,0,0,0,0
12,720,1,2500,27500,0,0,0,0,0,0,0,0
13,780,1,2500,30000,0,0,0,0,0,0,0,0
14,840,1,2500,32500,0,0,0,0,0,0,0,0
15,900,1,2500,35000,0,0,0,0,0,0,0,0
16,960,1,2500,37500,0,0,0,0,0,0,0,0
17,1020,1,2500,40000,0,0,0,0,0,0,0,0
18,1080,1,2500,42500,0,0,0,0,0,0,0,0
19,1140,1,2500,45000,0,0,0,0,0,0,0,0
20,1200,1,2500,47500,0,0,0,0,0,0,0,0
21,1260,1,2500,50000,0,0,0,0,0,0,0,0
22,1320,1,2500,52500,0,0,0,0,0,0,0,0
23,1380,1,2500,55000,0,0,0,0,0,0,0,0
24,1440,1,2500,57500,0,0,0,0,0,0,0,0
25,1500,1,2500,60000,0,0,0,0,0,0,0,0
26,1560,1,2500,62500,0,0,0,0,0,0,0,0
27,1620,1,2500,65000,0,0,0,0,0,0,0,0
28,1680,1,2500,67500,0,0,0,0,0,0,0,0
