tick,time_s,status,act_temp_K,target_temp_K,heatInput_w,underflux_streak,temp_miss_streak
1,60,1,300,300,0,0,0
2,120,1,300,300,0,0,0
3,180,1,300,300,0,0,0
4,240,1,300,300,0,0,0
5,300,1,300,300,0,0,0
6,360,1,300,300,0,0,0
7,420,1,300,300,0,0,0
8,480,1,300,300,0,0,0
9,540,1,300,300,0,0,0
10,600,1,400.8,1269.6,1680,0,0
11,660,1,492.528,1269.6,1680,0,0
12,720,1,576,1269.6,1680,0,0
13,780,1,651.96,1269.6,1680,0,0
14,840,1,721.084,1269.6,1680,0,0
15,900,1,783.986,1269.6,1680,0,0
16,960,1,841.228,1269.6,1680,0,0
17,1020,1,893.317,1269.6,1680,0,0
18,1080,1,940.719,1269.6,1680,0,0
19,1140,1,983.854,1269.6,1680,0,0
20,1200,1,1023.11,1269.6,1680,0,0
21,1260,1,1058.83,1269.6,1680,0,0
22,1320,1,1091.33,1269.6,1680,0,0
23,1380,1,1120.91,1269.6,1680,0,0
24,1440,1,1147.83,1269.6,1680,0,0
25,1500,1,1172.33,1269.6,1680,0,0
26,1560,1,1194.62,1269.6,1680,0,0
27,1620,1,1214.9,1269.6,1680,0,1
28,1680,1,1233.36,1269.6,1680,0,0
29,1740,1,1250.16,1269.6,1680,0,0
30,1800,1,1265.44,1269.6,1680,0,0
31,1860,1,1279.35,1269.6,1680,0,0
32,1920,1,1292.01,1269.6,1680,0,0
33,1980,1,1303.53,1269.6,1680,0,0
34,2040,1,1314.01,1269.6,1680,0,0
35,2100,1,1323.55,1269.6,1680,0,0
36,2160,1,1332.23,1269.6,1680,0,0
37,2220,1,1340.13,1269.6,1680,0,0
38,2280,1,1347.32,1269.6,1680,0,0
39,2340,1,1253.68,1269.6,10.2892,0,0
40,2400,1,1167.85,1269.6,0,1,0
41,2460,1,1089.74,1269.6,0,2,1
42,2520,1,1018.66,1269.6,0,3,2
43,2580,1,953.984,1269.6,0,4,3
44,2640,1,895.126,300,0,0,0
45,2700,1,841.564,300,0,0,0
46,2760,1,792.824,300,0,0,0
47,2820,1,748.47,300,0,0,0
48,2880,1,708.107,300,0,0,0
49,2940,1,671.378,300,0,0,0
50,3000,1,637.954,300,0,0,0
51,3060,1,607.538,300,0,0,0
52,3120,1,579.859,300,0,0,0
53,3180,1,554.672,300,0,0,0
54,3240,1,531.752,300,0,0,0
55,3300,1,510.894,300,0,0,0
56,3360,1,491.913,300,0,0,0
57,3420,1,474.641,300,0,0,0
58,3480,1,458.924,300,0,0,0
59,3540,1,444.62,300,0,0,0
60,3600,1,431.605,300,0,0,0
61,3660,1,419.76,300,0,0,0
62,3720,1,408.982,300,0,0,0
63,3780,1,399.173,300,0,0,0
64,3840,1,390.248,300,0,0,0
65,3900,1,382.125,300,0,0,0
66,3960,1,374.734,300,0,0,0
67,4020,1,368.008,300,0,0,0
68,4080,1,361.887,300,0,0,0
