tick,time_s,status,solar_scale,solar_input,output,efficiency
0,0,1,0,0,0,0.3
1,60,1,0.998883,5660.67,1698.2,0.3
2,120,1,0.995539,5641.72,1692.52,0.3
3,180,1,0.989981,5610.22,1683.07,0.3
4,240,1,0.982235,5566.32,1669.9,0.3
5,300,1,0.972335,5510.22,1653.07,0.3
6,360,1,0.960325,5442.16,1632.65,0.3
7,420,1,0.946259,5362.45,1608.74,0.3
8,480,1,0.930201,5271.45,1581.43,0.3
9,540,1,0.912221,5169.56,1550.87,0.3
10,600,1,0.8924,5057.23,1517.17,0.3
11,660,1,0.870826,4934.97,1480.49,0.3
12,720,1,0.847596,4803.33,1441,0.3
13,780,1,0.822814,4662.89,1398.87,0.3
14,840,1,0.79659,4514.27,1354.28,0.3
15,900,1,0.769041,4358.16,1307.45,0.3
16,960,1,0.740291,4195.23,1258.57,0.3
17,1020,1,0.710467,4026.22,1207.87,0.3
18,1080,1,0.679704,3851.88,1155.56,0.3
19,1140,1,0.648138,3673,1101.9,0.3
20,1200,1,0.61591,3490.36,1047.11,0.3
21,1260,1,0.583165,3304.79,991.438,0.3
22,1320,1,0.550048,3117.12,935.136,0.3
23,1380,1,0.516707,2928.18,878.454,0.3
24,1440,1,0,0,0,0.3
25,1500,1,0,0,0,0.3
26,1560,1,0,0,0,0.3
27,1620,1,0,0,0,0.3
28,1680,1,0,0,0,0.3
29,1740,1,0,0,0,0.3
30,1800,1,0,0,0,0.3
31,1860,1,0,0,0,0.3
32,1920,1,0,0,0,0.3
33,1980,1,0,0,0,0.3
34,2040,1,0,0,0,0.3
35,2100,1,0,0,0,0.3
36,2160,1,0,0,0,0.3
37,2220,1,0,0,0,0.3
38,2280,1,0,0,0,0.3
39,2340,1,0,0,0,0.3
40,2400,1,0,0,0,0.3
41,2460,1,0,0,0,0.3
42,2520,1,0,0,0,0.3
43,2580,1,0,0,0,0.3
44,2640,1,0,0,0,0.3
45,2700,1,0,0,0,0.3
46,2760,1,0,0,0,0.3
47,2820,1,0,0,0,0.3
48,2880,1,0,0,0,0.3
49,2940,1,0,0,0,0.3
50,3000,1,0,0,0,0.3
51,3060,1,0,0,0,0.3
52,3120,1,0,0,0,0.3
53,3180,1,0,0,0,0.3
54,3240,1,0,0,0,0.3
55,3300,1,0,0,0,0.3
56,3360,1,0,0,0,0.3
57,3420,1,0,0,0,0.3
58,3480,1,0,0,0,0.3
59,3540,1,0,0,0,0.3
60,3600,1,0,0,0,0.3
61,3660,1,0,0,0,0.3
62,3720,1,0,0,0,0.3
63,3780,1,0,0,0,0.3
